,price,volume
2015-03-05,479.0,
2015-03-06,479.0,
2015-03-07,455.0,
2015-03-08,434.0,
2015-03-09,412.0,
2015-03-10,412.0,
2015-03-11,391.0,
2015-03-12,391.0,
2015-03-13,371.0,
2015-03-14,371.0,
2015-03-15,355.0,
2015-03-16,355.0,
2015-03-17,346.0,
2015-03-18,337.0,
2015-03-19,337.0,
2015-03-20,327.0,
2015-03-21,320.0,
2015-03-22,320.0,
2015-03-23,326.0,
2015-03-24,326.0,
2015-03-25,336.0,
2015-03-26,343.0,
2015-03-27,348.0,
2015-03-28,348.0,
2015-03-29,354.0,
2015-03-30,350.0,
2015-03-31,348.0,
2015-04-01,347.0,
2015-04-02,347.0,
2015-04-03,349.0,
2015-04-04,357.0,
2015-04-05,362.0,
2015-04-06,362.0,
2015-04-07,376.0,
2015-04-08,391.0,
2015-04-09,391.0,
2015-04-10,408.0,
2015-04-11,426.0,
2015-04-12,441.0,
2015-04-13,456.0,
2015-04-14,455.0,
2015-04-15,455.0,
2015-04-16,457.0,
2015-04-17,457.0,
2015-04-18,455.0,
2015-04-19,454.0,
2015-04-20,449.0,
2015-04-21,449.0,
2015-04-22,442.0,
2015-04-23,442.0,
2015-04-24,442.0,
2015-04-25,442.0,
2015-04-26,444.0,
2015-04-27,444.0,
2015-04-28,462.0,
2015-04-29,486.0,
2015-04-30,486.0,
2015-05-01,509.0,
2015-05-02,521.0,
2015-05-03,531.0,
2015-05-04,531.0,
2015-05-05,537.0,
2015-05-06,537.0,
2015-05-07,519.0,
2015-05-08,519.0,
2015-05-09,498.0,
2015-05-10,488.0,
2015-05-11,480.0,
2015-05-12,480.0,
2015-05-13,491.0,
2015-05-14,491.0,
2015-05-15,510.0,
2015-05-16,510.0,
2015-05-17,529.0,
2015-05-18,549.0,
2015-05-19,549.0,
2015-05-20,572.0,
2015-05-21,572.0,
2015-05-22,596.0,
2015-05-23,586.0,
2015-05-24,586.0,
2015-05-25,560.0,
2015-05-26,536.0,
2015-05-27,536.0,
2015-05-28,519.0,
2015-05-29,521.0,
2015-05-30,528.0,
2015-05-31,532.0,
2015-06-01,532.0,
2015-06-02,543.0,
2015-06-03,543.0,
2015-06-04,560.0,
2015-06-05,560.0,
2015-06-06,586.0,
2015-06-07,615.0,
2015-06-08,641.0,
2015-06-09,641.0,
2015-06-10,665.0,
2015-06-11,687.0,
2015-06-12,687.0,
2015-06-13,696.0,
2015-06-14,679.0,
2015-06-15,663.0,
2015-06-16,661.0,
2015-06-17,661.0,
2015-06-18,661.0,
2015-06-19,661.0,
2015-06-20,661.0,
2015-06-21,662.0,
2015-06-22,662.0,
2015-06-23,650.0,
2015-06-24,627.0,
2015-06-25,616.0,
2015-06-26,616.0,
2015-06-27,611.0,
2015-06-28,611.0,
2015-06-29,606.0,
2015-06-30,606.0,
2015-07-01,590.0,
2015-07-02,594.0,
2015-07-03,594.0,
2015-07-04,602.0,
2015-07-05,602.0,
2015-07-06,593.0,
2015-07-07,593.0,
2015-07-08,577.0,
2015-07-09,555.0,
2015-07-10,555.0,
2015-07-11,549.0,
2015-07-12,549.0,
2015-07-13,557.0,
2015-07-14,562.0,
2015-07-15,576.0,
2015-07-16,600.0,
2015-07-17,598.0,
2015-07-18,616.0,
2015-07-19,616.0,
2015-07-20,636.0,
2015-07-21,619.0,
2015-07-22,619.0,
2015-07-23,611.0,
2015-07-24,611.0,
2015-07-25,621.0,
2015-07-26,640.0,
2015-07-27,658.0,
2015-07-28,668.0,
2015-07-29,676.0,
2015-07-30,699.0,
2015-07-31,716.0,
2015-08-01,716.0,
2015-08-02,713.0,
2015-08-03,689.0,
2015-08-04,689.0,
2015-08-05,667.0,
2015-08-06,661.0,
2015-08-07,663.0,
2015-08-08,663.0,
2015-08-09,653.0,
2015-08-10,635.0,
2015-08-11,640.0,
2015-08-12,632.0,
2015-08-13,632.0,
2015-08-14,633.0,
2015-08-15,644.0,
2015-08-16,644.0,
2015-08-17,641.0,
2015-08-18,641.0,
2015-08-19,652.0,
2015-08-20,652.0,
2015-08-21,660.0,
2015-08-22,660.0,
2015-08-23,660.0,
2015-08-24,660.0,
2015-08-25,651.0,
2015-08-26,651.0,
2015-08-27,651.0,
2015-08-28,658.0,
2015-08-29,658.0,
2015-08-30,660.0,
2015-08-31,660.0,
2015-09-01,646.0,
2015-09-02,1780.0,
2015-09-03,651.0,
2015-09-08,659.0,
2015-09-09,653.0,
2015-09-11,647.0,
2015-09-15,656.0,
2015-09-17,650.0,
2015-09-23,634.0,
2015-09-24,634.0,
2015-09-25,606.0,
2015-09-26,606.0,
2015-09-28,595.0,
2015-09-29,574.0,
2015-09-30,574.0,
2015-10-01,570.0,
2015-10-06,585.0,
2015-10-07,585.0,
2015-10-08,601.0,
2015-10-09,601.0,
2015-10-10,609.0,
2015-10-11,609.0,
2015-10-12,622.0,
2015-10-13,622.0,
2015-10-14,631.0,
2015-10-15,631.0,
2015-10-16,622.0,
2015-10-17,622.0,
2015-10-18,622.0,
2015-10-19,615.0,
2015-10-20,615.0,
2015-10-21,626.0,
2015-10-23,631.0,
2015-10-24,631.0,
2015-10-25,627.0,
2015-10-26,627.0,
2015-10-27,635.0,
2015-10-28,635.0,
2015-10-30,645.0,
2015-10-31,645.0,
2015-11-01,645.0,
2015-11-02,649.0,
2015-11-03,649.0,
2015-11-04,671.0,
2015-11-05,671.0,
2015-11-06,684.0,
2015-11-07,684.0,
2015-11-08,715.0,
2015-11-09,715.0,
2015-11-10,715.0,
2015-11-11,748.0,
2015-11-12,748.0,
2015-11-13,777.0,
2015-11-14,777.0,
2015-11-15,777.0,
2015-11-16,793.0,
2015-11-17,793.0,
2015-11-18,803.0,
2015-11-19,803.0,
2015-11-20,797.0,
2015-11-21,797.0,
2015-11-22,797.0,
2015-11-23,789.0,
2015-11-24,789.0,
2015-11-25,826.0,
2015-11-26,866.0,
2015-11-27,866.0,
2015-11-28,910.0,
2015-11-29,910.0,
2015-11-30,936.0,
2015-12-01,936.0,
2015-12-02,953.0,
2015-12-03,953.0,
2015-12-04,979.0,
2015-12-05,979.0,
2015-12-06,1003.0,
2015-12-07,1003.0,
2015-12-08,984.0,
2015-12-09,984.0,
2015-12-10,961.0,
2015-12-11,961.0,
2015-12-12,983.0,
2015-12-14,1023.0,
2015-12-15,1023.0,
2015-12-16,1010.0,
2015-12-17,1010.0,
2015-12-18,992.0,
2015-12-19,992.0,
2015-12-20,1008.0,
2015-12-21,1008.0,
2015-12-22,1014.0,
2015-12-23,1014.0,
2015-12-24,1044.0,
2015-12-25,1044.0,
2015-12-26,1060.0,
2015-12-27,1060.0,
2015-12-28,1079.0,
2015-12-29,1079.0,
2015-12-30,1043.0,
2015-12-31,1043.0,
2016-01-01,990.0,
2016-01-02,990.0,
2016-01-03,940.0,
2016-01-04,898.0,
2016-01-05,857.0,
2016-01-06,857.0,
2016-01-07,820.0,
2016-01-08,820.0,
2016-01-09,789.0,
2016-01-10,789.0,
2016-01-11,814.0,
2016-01-12,814.0,
2016-01-13,835.0,
2016-01-14,835.0,
2016-01-15,873.0,
2016-01-16,873.0,
2016-01-17,912.0,
2016-01-18,912.0,
2016-01-19,934.0,
2016-01-20,934.0,
2016-01-21,953.0,
2016-01-22,953.0,
2016-01-23,974.0,
2016-01-24,974.0,
2016-01-25,1020.0,
2016-01-26,1068.0,
2016-01-27,1068.0,
2016-01-28,1092.0,
2016-01-29,1092.0,
2016-01-30,1065.0,
2016-01-31,1065.0,
2016-02-01,1024.0,
2016-02-02,985.0,
2016-02-03,985.0,
2016-02-04,989.0,
2016-02-05,989.0,
2016-02-06,1019.0,
2016-02-07,1051.0,
2016-02-08,1051.0,
2016-02-09,1099.0,
2016-02-10,1099.0,
2016-02-11,1149.0,
2016-02-12,1149.0,
2016-02-13,1196.0,
2016-02-14,1256.0,
2016-02-15,1256.0,
2016-02-16,1319.0,
2016-02-17,1319.0,
2016-02-18,1368.0,
2016-02-19,1368.0,
2016-02-20,1406.0,
2016-02-21,1406.0,
2016-02-22,1453.0,
2016-02-23,1453.0,
2016-02-24,1418.0,
2016-02-25,1418.0,
2016-02-26,1357.0,
2016-02-27,1357.0,
2016-02-28,1324.0,
2016-02-29,1324.0,
2016-03-01,1275.0,
2016-03-02,1236.0,
2016-03-03,1236.0,
2016-03-04,1224.0,
2016-03-05,1224.0,
2016-03-06,1174.0,
2016-03-07,1133.0,
2016-03-08,1133.0,
